Configuration,Rule Source,Sarif Identifier,Alerts
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/overwritten-property,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/path-injection,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/polynomial-redos,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/property-access-on-non-object,31
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/property-assignment-on-primitive,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/prototype-polluting-assignment,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/prototype-pollution,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/prototype-pollution-utility,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/react/direct-state-mutation,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/react/inconsistent-state-update,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/react/unsupported-state-update-in-lifecycle-method,0
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/react/unused-or-undefined-state-property,4
.github/workflows/security-pipeline.yml:sast/language:javascript,codeql/javascript-queries (2.1.2+aa3000df1310b332ba1c84afec3bacb0aeb4dbbd),js/redos,0
